Sexo;Titulación;Ocupación en el primer empleo;Total
Hombres;Física;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Física;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Física;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Física;Ocupaciones elementales;2
Hombres;Física;Ocupaciones militares;0
Hombres;Física;No consta;0
Hombres;Matemáticas;Total;143
Hombres;Matemáticas;Directores y gerentes;1
Hombres;Matemáticas;Técnicos y profesionales científicos e intelectuales;105
Hombres;Matemáticas;Técnicos profesionales de apoyo;22
Hombres;Matemáticas;Empleados contables, administrativos y otros empleados de oficina;13
Hombres;Matemáticas;Trabajadores de los servicios de restauración, personales, protección y vendedores;0
Hombres;Matemáticas;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Matemáticas;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Matemáticas;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Matemáticas;Ocupaciones elementales;2
Hombres;Matemáticas;Ocupaciones militares;0
Hombres;Matemáticas;No consta;0
Hombres;Estadística;Total;58
Hombres;Estadística;Directores y gerentes;2
Hombres;Estadística;Técnicos y profesionales científicos e intelectuales;35
Hombres;Estadística;Técnicos profesionales de apoyo;15
Hombres;Estadística;Empleados contables, administrativos y otros empleados de oficina;3
Hombres;Estadística;Trabajadores de los servicios de restauración, personales, protección y vendedores;0
Hombres;Estadística;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Estadística;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Estadística;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Estadística;Ocupaciones elementales;0
Hombres;Estadística;Ocupaciones militares;0
Hombres;Estadística;No consta;2
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Total;30
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Directores y gerentes;0
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Técnicos y profesionales científicos e intelectuales;15
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Técnicos profesionales de apoyo;8
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;2
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;1
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Ocupaciones elementales;3
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);Ocupaciones militares;0
Hombres;Ciencias químicas, físicas y geológicas Matemáticas y estadística (Otros estudios);No consta;0
Hombres;06 - INFORMÁTICA;Total;785
Hombres;06 - INFORMÁTICA;Directores y gerentes;31
Hombres;06 - INFORMÁTICA;Técnicos y profesionales científicos e intelectuales;468
Hombres;06 - INFORMÁTICA;Técnicos profesionales de apoyo;232
Hombres;06 - INFORMÁTICA;Empleados contables, administrativos y otros empleados de oficina;28
Hombres;06 - INFORMÁTICA;Trabajadores de los servicios de restauración, personales, protección y vendedores;16
Hombres;06 - INFORMÁTICA;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;06 - INFORMÁTICA;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);1
Hombres;06 - INFORMÁTICA;Operadores de instalaciones y maquinaria, y montadores;1
Hombres;06 - INFORMÁTICA;Ocupaciones elementales;1
Hombres;06 - INFORMÁTICA;Ocupaciones militares;0
Hombres;06 - INFORMÁTICA;No consta;7
Hombres;Diseño y administración de bases de datos y redes;Total;141
Hombres;Diseño y administración de bases de datos y redes;Directores y gerentes;8
Hombres;Diseño y administración de bases de datos y redes;Técnicos y profesionales científicos e intelectuales;69
Hombres;Diseño y administración de bases de datos y redes;Técnicos profesionales de apoyo;42
Hombres;Diseño y administración de bases de datos y redes;Empleados contables, administrativos y otros empleados de oficina;8
Hombres;Diseño y administración de bases de datos y redes;Trabajadores de los servicios de restauración, personales, protección y vendedores;6
Hombres;Diseño y administración de bases de datos y redes;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Diseño y administración de bases de datos y redes;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Diseño y administración de bases de datos y redes;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Diseño y administración de bases de datos y redes;Ocupaciones elementales;0
Hombres;Diseño y administración de bases de datos y redes;Ocupaciones militares;0
Hombres;Diseño y administración de bases de datos y redes;No consta;7
Hombres;Desarrollo y análisis de aplicaciones y de software;Total;391
Hombres;Desarrollo y análisis de aplicaciones y de software;Directores y gerentes;7
Hombres;Desarrollo y análisis de aplicaciones y de software;Técnicos y profesionales científicos e intelectuales;250
Hombres;Desarrollo y análisis de aplicaciones y de software;Técnicos profesionales de apoyo;114
Hombres;Desarrollo y análisis de aplicaciones y de software;Empleados contables, administrativos y otros empleados de oficina;16
Hombres;Desarrollo y análisis de aplicaciones y de software;Trabajadores de los servicios de restauración, personales, protección y vendedores;3
Hombres;Desarrollo y análisis de aplicaciones y de software;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Desarrollo y análisis de aplicaciones y de software;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Desarrollo y análisis de aplicaciones y de software;Operadores de instalaciones y maquinaria, y montadores;1
Hombres;Desarrollo y análisis de aplicaciones y de software;Ocupaciones elementales;0
Hombres;Desarrollo y análisis de aplicaciones y de software;Ocupaciones militares;0
Hombres;Desarrollo y análisis de aplicaciones y de software;No consta;0
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Total;254
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Directores y gerentes;16
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Técnicos y profesionales científicos e intelectuales;148
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Técnicos profesionales de apoyo;76
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;4
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;7
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);1
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Ocupaciones elementales;1
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);Ocupaciones militares;0
Hombres;Tecnologías de la información y las comunicaciones (Otros estudios);No consta;0
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Total;3.568
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Directores y gerentes;133
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Técnicos y profesionales científicos e intelectuales;2.142
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Técnicos profesionales de apoyo;693
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Empleados contables, administrativos y otros empleados de oficina;241
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Trabajadores de los servicios de restauración, personales, protección y vendedores;107
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;6
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);94
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Operadores de instalaciones y maquinaria, y montadores;30
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Ocupaciones elementales;107
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Ocupaciones militares;5
Hombres;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;No consta;10
Hombres;Ingeniería y procesos químicos;Total;55
Hombres;Ingeniería y procesos químicos;Directores y gerentes;4
Hombres;Ingeniería y procesos químicos;Técnicos y profesionales científicos e intelectuales;44
Hombres;Ingeniería y procesos químicos;Técnicos profesionales de apoyo;1
Hombres;Ingeniería y procesos químicos;Empleados contables, administrativos y otros empleados de oficina;2
Hombres;Ingeniería y procesos químicos;Trabajadores de los servicios de restauración, personales, protección y vendedores;2
Hombres;Ingeniería y procesos químicos;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;1
Hombres;Ingeniería y procesos químicos;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Ingeniería y procesos químicos;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Ingeniería y procesos químicos;Ocupaciones elementales;0
Hombres;Ingeniería y procesos químicos;Ocupaciones militares;0
Hombres;Ingeniería y procesos químicos;No consta;0
Hombres;Control y tecnología medioambiental;Total;271
Hombres;Control y tecnología medioambiental;Directores y gerentes;4
Hombres;Control y tecnología medioambiental;Técnicos y profesionales científicos e intelectuales;173
Hombres;Control y tecnología medioambiental;Técnicos profesionales de apoyo;52
Hombres;Control y tecnología medioambiental;Empleados contables, administrativos y otros empleados de oficina;5
Hombres;Control y tecnología medioambiental;Trabajadores de los servicios de restauración, personales, protección y vendedores;0
Hombres;Control y tecnología medioambiental;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;3
Hombres;Control y tecnología medioambiental;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);5
Hombres;Control y tecnología medioambiental;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Control y tecnología medioambiental;Ocupaciones elementales;28
Hombres;Control y tecnología medioambiental;Ocupaciones militares;0
Hombres;Control y tecnología medioambiental;No consta;0
Hombres;Electricidad y energía;Total;613
Hombres;Electricidad y energía;Directores y gerentes;9
Hombres;Electricidad y energía;Técnicos y profesionales científicos e intelectuales;385
Hombres;Electricidad y energía;Técnicos profesionales de apoyo;111
Hombres;Electricidad y energía;Empleados contables, administrativos y otros empleados de oficina;23
Hombres;Electricidad y energía;Trabajadores de los servicios de restauración, personales, protección y vendedores;13
Hombres;Electricidad y energía;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Electricidad y energía;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);13
Hombres;Electricidad y energía;Operadores de instalaciones y maquinaria, y montadores;11
Hombres;Electricidad y energía;Ocupaciones elementales;44
Hombres;Electricidad y energía;Ocupaciones militares;0
Hombres;Electricidad y energía;No consta;4
Hombres;Electrónica y automática;Total;610
Hombres;Electrónica y automática;Directores y gerentes;31
Hombres;Electrónica y automática;Técnicos y profesionales científicos e intelectuales;360
Hombres;Electrónica y automática;Técnicos profesionales de apoyo;105
Hombres;Electrónica y automática;Empleados contables, administrativos y otros empleados de oficina;78
Hombres;Electrónica y automática;Trabajadores de los servicios de restauración, personales, protección y vendedores;18
Hombres;Electrónica y automática;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Electrónica y automática;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);18
Hombres;Electrónica y automática;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Electrónica y automática;Ocupaciones elementales;0
Hombres;Electrónica y automática;Ocupaciones militares;0
Hombres;Electrónica y automática;No consta;0
Hombres;Maquinaria y metalurgia;Total;579
Hombres;Maquinaria y metalurgia;Directores y gerentes;13
Hombres;Maquinaria y metalurgia;Técnicos y profesionales científicos e intelectuales;380
Hombres;Maquinaria y metalurgia;Técnicos profesionales de apoyo;102
Hombres;Maquinaria y metalurgia;Empleados contables, administrativos y otros empleados de oficina;47
Hombres;Maquinaria y metalurgia;Trabajadores de los servicios de restauración, personales, protección y vendedores;11
Hombres;Maquinaria y metalurgia;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Maquinaria y metalurgia;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);24
Hombres;Maquinaria y metalurgia;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Maquinaria y metalurgia;Ocupaciones elementales;2
Hombres;Maquinaria y metalurgia;Ocupaciones militares;0
Hombres;Maquinaria y metalurgia;No consta;0
Hombres;Vehículos de motor, barcos y aeronaves;Total;131
Hombres;Vehículos de motor, barcos y aeronaves;Directores y gerentes;10
Hombres;Vehículos de motor, barcos y aeronaves;Técnicos y profesionales científicos e intelectuales;77
Hombres;Vehículos de motor, barcos y aeronaves;Técnicos profesionales de apoyo;19
Hombres;Vehículos de motor, barcos y aeronaves;Empleados contables, administrativos y otros empleados de oficina;2
Hombres;Vehículos de motor, barcos y aeronaves;Trabajadores de los servicios de restauración, personales, protección y vendedores;2
Hombres;Vehículos de motor, barcos y aeronaves;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Vehículos de motor, barcos y aeronaves;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);16
Hombres;Vehículos de motor, barcos y aeronaves;Operadores de instalaciones y maquinaria, y montadores;2
Hombres;Vehículos de motor, barcos y aeronaves;Ocupaciones elementales;2
Hombres;Vehículos de motor, barcos y aeronaves;Ocupaciones militares;2
Hombres;Vehículos de motor, barcos y aeronaves;No consta;0
Hombres;Ingeniería y profesiones afines (Otros estudios);Total;374
Hombres;Ingeniería y profesiones afines (Otros estudios);Directores y gerentes;30
Hombres;Ingeniería y profesiones afines (Otros estudios);Técnicos y profesionales científicos e intelectuales;176
Hombres;Ingeniería y profesiones afines (Otros estudios);Técnicos profesionales de apoyo;98
Hombres;Ingeniería y profesiones afines (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;50
Hombres;Ingeniería y profesiones afines (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;0
Hombres;Ingeniería y profesiones afines (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Ingeniería y profesiones afines (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);13
Hombres;Ingeniería y profesiones afines (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Ingeniería y profesiones afines (Otros estudios);Ocupaciones elementales;7
Hombres;Ingeniería y profesiones afines (Otros estudios);Ocupaciones militares;0
Hombres;Ingeniería y profesiones afines (Otros estudios);No consta;0
Hombres;Industria de la alimentación;Total;154
Hombres;Industria de la alimentación;Directores y gerentes;2
Hombres;Industria de la alimentación;Técnicos y profesionales científicos e intelectuales;62
Hombres;Industria de la alimentación;Técnicos profesionales de apoyo;37
Hombres;Industria de la alimentación;Empleados contables, administrativos y otros empleados de oficina;10
Hombres;Industria de la alimentación;Trabajadores de los servicios de restauración, personales, protección y vendedores;25
Hombres;Industria de la alimentación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;1
Hombres;Industria de la alimentación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);3
Hombres;Industria de la alimentación;Operadores de instalaciones y maquinaria, y montadores;7
Hombres;Industria de la alimentación;Ocupaciones elementales;7
Hombres;Industria de la alimentación;Ocupaciones militares;0
Hombres;Industria de la alimentación;No consta;0
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Total;77
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Directores y gerentes;7
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Técnicos y profesionales científicos e intelectuales;37
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Técnicos profesionales de apoyo;15
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Empleados contables, administrativos y otros empleados de oficina;4
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Trabajadores de los servicios de restauración, personales, protección y vendedores;5
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);1
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Operadores de instalaciones y maquinaria, y montadores;5
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Ocupaciones elementales;1
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Ocupaciones militares;0
Hombres;Industrias de otros materiales (madera, papel, plástico, vidrio,..);No consta;0
Hombres;Arquitectura, urbanismo y construcción;Total;307
Hombres;Arquitectura, urbanismo y construcción;Directores y gerentes;10
Hombres;Arquitectura, urbanismo y construcción;Técnicos y profesionales científicos e intelectuales;179
Hombres;Arquitectura, urbanismo y construcción;Técnicos profesionales de apoyo;75
Hombres;Arquitectura, urbanismo y construcción;Empleados contables, administrativos y otros empleados de oficina;6
Hombres;Arquitectura, urbanismo y construcción;Trabajadores de los servicios de restauración, personales, protección y vendedores;13
Hombres;Arquitectura, urbanismo y construcción;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Arquitectura, urbanismo y construcción;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Arquitectura, urbanismo y construcción;Operadores de instalaciones y maquinaria, y montadores;5
Hombres;Arquitectura, urbanismo y construcción;Ocupaciones elementales;15
Hombres;Arquitectura, urbanismo y construcción;Ocupaciones militares;4
Hombres;Arquitectura, urbanismo y construcción;No consta;0
Hombres;Ingeniería civil y de la edificación;Total;397
Hombres;Ingeniería civil y de la edificación;Directores y gerentes;12
Hombres;Ingeniería civil y de la edificación;Técnicos y profesionales científicos e intelectuales;269
Hombres;Ingeniería civil y de la edificación;Técnicos profesionales de apoyo;78
Hombres;Ingeniería civil y de la edificación;Empleados contables, administrativos y otros empleados de oficina;14
Hombres;Ingeniería civil y de la edificación;Trabajadores de los servicios de restauración, personales, protección y vendedores;18
Hombres;Ingeniería civil y de la edificación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Ingeniería civil y de la edificación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Ingeniería civil y de la edificación;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Ingeniería civil y de la edificación;Ocupaciones elementales;0
Hombres;Ingeniería civil y de la edificación;Ocupaciones militares;0
Hombres;Ingeniería civil y de la edificación;No consta;6
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Total;266
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Directores y gerentes;12
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Técnicos y profesionales científicos e intelectuales;142
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Técnicos profesionales de apoyo;49
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Empleados contables, administrativos y otros empleados de oficina;3
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Trabajadores de los servicios de restauración, personales, protección y vendedores;21
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;18
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);9
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Operadores de instalaciones y maquinaria, y montadores;3
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Ocupaciones elementales;10
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Ocupaciones militares;0
Hombres;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;No consta;0
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Total;158
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Directores y gerentes;8
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Técnicos y profesionales científicos e intelectuales;77
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Técnicos profesionales de apoyo;33
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Empleados contables, administrativos y otros empleados de oficina;3
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Trabajadores de los servicios de restauración, personales, protección y vendedores;6
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;13
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);6
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Operadores de instalaciones y maquinaria, y montadores;3
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Ocupaciones elementales;9
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;Ocupaciones militares;0
Hombres;Producción agrícola, explotación ganadera, horticultura y jardinería;No consta;0
Hombres;Silvicultura;Total;36
Hombres;Silvicultura;Directores y gerentes;2
Hombres;Silvicultura;Técnicos y profesionales científicos e intelectuales;18
Hombres;Silvicultura;Técnicos profesionales de apoyo;7
Hombres;Silvicultura;Empleados contables, administrativos y otros empleados de oficina;0
Hombres;Silvicultura;Trabajadores de los servicios de restauración, personales, protección y vendedores;4
Hombres;Silvicultura;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;4
Hombres;Silvicultura;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);1
Hombres;Silvicultura;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Silvicultura;Ocupaciones elementales;0
Hombres;Silvicultura;Ocupaciones militares;0
Hombres;Silvicultura;No consta;0
Hombres;Pesca;Total;40
Hombres;Pesca;Directores y gerentes;2
Hombres;Pesca;Técnicos y profesionales científicos e intelectuales;20
Hombres;Pesca;Técnicos profesionales de apoyo;7
Hombres;Pesca;Empleados contables, administrativos y otros empleados de oficina;0
Hombres;Pesca;Trabajadores de los servicios de restauración, personales, protección y vendedores;8
Hombres;Pesca;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Pesca;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);2
Hombres;Pesca;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Pesca;Ocupaciones elementales;1
Hombres;Pesca;Ocupaciones militares;0
Hombres;Pesca;No consta;0
Hombres;Veterinaria;Total;32
Hombres;Veterinaria;Directores y gerentes;0
Hombres;Veterinaria;Técnicos y profesionales científicos e intelectuales;27
Hombres;Veterinaria;Técnicos profesionales de apoyo;3
Hombres;Veterinaria;Empleados contables, administrativos y otros empleados de oficina;0
Hombres;Veterinaria;Trabajadores de los servicios de restauración, personales, protección y vendedores;2
Hombres;Veterinaria;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Veterinaria;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Veterinaria;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Veterinaria;Ocupaciones elementales;0
Hombres;Veterinaria;Ocupaciones militares;0
Hombres;Veterinaria;No consta;0
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Total;1.631
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Directores y gerentes;31
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Técnicos y profesionales científicos e intelectuales;1.279
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Técnicos profesionales de apoyo;150
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Empleados contables, administrativos y otros empleados de oficina;46
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Trabajadores de los servicios de restauración, personales, protección y vendedores;76
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;4
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Operadores de instalaciones y maquinaria, y montadores;20
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Ocupaciones elementales;11
Hombres;09 - SALUD Y SERVICIOS SOCIALES;Ocupaciones militares;4
Hombres;09 - SALUD Y SERVICIOS SOCIALES;No consta;2
Hombres;Odontología;Total;65
Hombres;Odontología;Directores y gerentes;0
Hombres;Odontología;Técnicos y profesionales científicos e intelectuales;59
Hombres;Odontología;Técnicos profesionales de apoyo;3
Hombres;Odontología;Empleados contables, administrativos y otros empleados de oficina;3
Hombres;Odontología;Trabajadores de los servicios de restauración, personales, protección y vendedores;0
Hombres;Odontología;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Odontología;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Odontología;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Odontología;Ocupaciones elementales;0
Hombres;Odontología;Ocupaciones militares;0
Hombres;Odontología;No consta;0
Hombres;Medicina;Total;323
Hombres;Medicina;Directores y gerentes;0
Hombres;Medicina;Técnicos y profesionales científicos e intelectuales;290
Hombres;Medicina;Técnicos profesionales de apoyo;18
Hombres;Medicina;Empleados contables, administrativos y otros empleados de oficina;9
Hombres;Medicina;Trabajadores de los servicios de restauración, personales, protección y vendedores;6
Hombres;Medicina;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Hombres;Medicina;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Hombres;Medicina;Operadores de instalaciones y maquinaria, y montadores;0
Hombres;Medicina;Ocupaciones elementales;0
Hombres;Medicina;Ocupaciones militares;0
Hombres;Medicina;No consta;0
Hombres;Enfermería;Total;165
Hombres;Enfermería;Directores y gerentes;7
